420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 03:40:00;intensidade_precipitacao;2.2570532915360504;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 03:40:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 03:50:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 03:50:00;intensidade_precipitacao;2.2222222222222223;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:00:00;intensidade_precipitacao;1.0;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:00:00;chuva;0.2;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:10:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:10:00;intensidade_precipitacao;2.2929936305732483;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:20:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:20:00;intensidade_precipitacao;2.2429906542056073;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:30:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:30:00;intensidade_precipitacao;2.181818181818182;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:40:00;intensidade_precipitacao;2.3225806451612905;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:40:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:50:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 04:50:00;intensidade_precipitacao;2.285714285714286;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:00:00;intensidade_precipitacao;1.0;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:00:00;chuva;0.2;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:10:00;intensidade_precipitacao;2.168674698795181;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:10:00;chuva;0.39268000000000003;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:20:00;intensidade_precipitacao;2.099125364431487;0004
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-06-15 05:20:00;chuva;0.39268000000000003;0004
