OBS.: PCD com horario UTC!
cod.estacao;nome;municipio;uf;latitude;longitude;datahora;sensor;valor;qualificacao;offset
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 16:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 16:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 17:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 17:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 18:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 18:00:00;chuva;0.0;0000;
OBS.: PCD com horario UTC!
cod.estacao;nome;municipio;uf;latitude;longitude;datahora;sensor;valor;qualificacao;offset
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 00:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 00:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 01:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 01:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 02:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 02:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 03:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 03:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 04:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 04:10:00;intensidade_precipitacao;0.0;0000;
